58,entrepreneur,married,primary,no,52499,no,no,unknown,6,jun,198,2,-1,0,unknown,no
39,technician,single,unknown,no,45248,yes,no,unknown,6,may,1623,1,-1,0,unknown,yes
59,housemaid,divorced,secondary,no,45141,no,no,unknown,6,jun,42,1,-1,0,unknown,no
32,technician,single,tertiary,no,34646,no,no,telephone,13,aug,618,9,-1,0,unknown,yes
61,retired,married,tertiary,no,32685,no,no,cellular,2,mar,1447,2,-1,0,unknown,yes
43,technician,single,tertiary,no,27733,yes,no,unknown,3,jun,164,7,-1,0,unknown,no
36,management,married,tertiary,no,27359,yes,no,unknown,3,jun,71,2,-1,0,unknown,no
24,student,single,secondary,no,23878,no,no,cellular,18,feb,185,1,-1,0,unknown,yes
45,bluecollar,married,secondary,no,22928,no,no,unknown,6,jun,113,1,-1,0,unknown,no
36,management,married,primary,no,22856,no,no,unknown,9,jun,1098,1,-1,0,unknown,no
49,management,married,tertiary,no,22520,no,no,cellular,21,nov,579,9,-1,0,unknown,yes
37,management,single,tertiary,no,22125,no,yes,cellular,21,nov,331,2,-1,0,unknown,yes
60,retired,married,primary,no,22018,no,no,unknown,6,jun,177,2,-1,0,unknown,no
42,selfemployed,married,tertiary,no,21861,no,no,unknown,5,jun,486,2,-1,0,unknown,no
51,management,married,tertiary,no,21574,no,no,unknown,6,jun,197,3,-1,0,unknown,no
41,admin,married,secondary,no,21515,yes,no,unknown,5,jun,87,1,-1,0,unknown,no
33,management,single,tertiary,no,21096,yes,no,unknown,2,jun,144,2,-1,0,unknown,no
65,retired,married,secondary,no,20806,no,no,telephone,8,apr,523,2,-1,0,unknown,yes
45,entrepreneur,married,tertiary,no,20138,yes,no,cellular,20,nov,871,5,-1,0,unknown,yes
53,entrepreneur,married,unknown,no,19850,no,no,unknown,6,jun,86,1,-1,0,unknown,no
52,management,married,tertiary,no,19797,yes,no,unknown,2,jun,966,3,-1,0,unknown,no
57,unknown,married,unknown,no,19268,no,no,unknown,23,oct,301,1,-1,0,unknown,yes
39,technician,single,secondary,no,18508,no,no,cellular,20,nov,1598,4,-1,0,unknown,yes
27,admin,single,secondary,no,18188,yes,no,unknown,12,jun,541,17,-1,0,unknown,yes
47,management,divorced,tertiary,no,17964,yes,no,unknown,3,jun,165,2,-1,0,unknown,no
26,bluecollar,single,secondary,no,17891,yes,no,unknown,3,jun,239,1,-1,0,unknown,no
60,retired,married,primary,no,17413,no,no,unknown,9,jun,200,1,-1,0,unknown,no
60,unknown,married,unknown,no,17297,no,no,cellular,26,aug,664,11,-1,0,unknown,yes
30,management,single,tertiary,no,17036,yes,no,unknown,4,jun,597,7,-1,0,unknown,no
39,bluecollar,single,secondary,no,16917,no,no,unknown,11,jun,129,6,-1,0,unknown,no
41,bluecollar,married,primary,no,16431,no,no,unknown,9,jun,139,1,-1,0,unknown,no
36,selfemployed,married,tertiary,no,16430,yes,no,unknown,6,jun,197,3,-1,0,unknown,no
36,bluecollar,married,secondary,no,16402,yes,no,unknown,3,jun,406,3,-1,0,unknown,no
36,technician,married,secondary,no,15485,no,no,cellular,14,apr,461,1,-1,0,unknown,yes
29,management,single,tertiary,no,15459,no,no,cellular,18,feb,264,7,-1,0,unknown,yes
50,management,married,tertiary,no,15442,no,no,unknown,5,jun,91,1,-1,0,unknown,no
26,technician,single,tertiary,no,15161,no,no,cellular,2,feb,280,1,-1,0,unknown,yes
46,management,divorced,tertiary,no,14481,yes,no,unknown,30,may,1269,1,-1,0,unknown,yes
52,housemaid,married,secondary,no,14363,no,no,unknown,5,jun,132,1,-1,0,unknown,no
42,technician,married,tertiary,no,14282,yes,no,cellular,6,aug,649,4,-1,0,unknown,yes
43,selfemployed,married,secondary,no,14144,yes,no,cellular,21,nov,504,1,-1,0,unknown,yes
35,housemaid,married,secondary,no,14000,no,no,unknown,9,jun,121,2,-1,0,unknown,no
44,management,married,tertiary,no,13893,no,no,unknown,11,jun,29,2,-1,0,unknown,no
31,technician,single,tertiary,no,13711,yes,no,cellular,20,nov,1532,3,-1,0,unknown,yes
36,admin,single,secondary,no,13698,no,no,unknown,9,jun,136,1,-1,0,unknown,no
34,bluecollar,single,secondary,no,13683,yes,no,unknown,3,jun,115,3,-1,0,unknown,no
60,management,married,tertiary,no,13546,no,no,cellular,17,apr,452,3,-1,0,unknown,yes
60,management,married,tertiary,no,13360,no,yes,unknown,5,jun,264,1,-1,0,unknown,no
42,selfemployed,married,secondary,no,13242,no,no,unknown,9,jun,149,1,-1,0,unknown,no
45,bluecollar,married,primary,no,13117,no,no,unknown,11,jun,42,2,-1,0,unknown,no
30,unknown,single,primary,no,13052,no,no,unknown,4,jun,140,1,-1,0,unknown,no
27,management,single,tertiary,no,12956,yes,no,unknown,29,may,789,3,-1,0,unknown,yes
38,technician,single,secondary,no,12926,yes,no,unknown,3,jun,280,1,-1,0,unknown,no
57,retired,married,secondary,no,12917,yes,no,unknown,2,jun,91,3,-1,0,unknown,no
30,management,single,tertiary,no,12857,yes,no,cellular,6,nov,150,1,-1,0,unknown,yes
31,management,single,tertiary,no,12857,yes,no,cellular,6,feb,158,1,92,1,success,yes
39,bluecollar,married,primary,no,12848,yes,no,unknown,5,jun,337,2,-1,0,unknown,no
30,entrepreneur,married,secondary,no,12737,no,yes,cellular,19,nov,589,2,-1,0,unknown,yes
32,management,single,tertiary,no,12686,yes,no,unknown,3,jun,54,1,-1,0,unknown,no
50,bluecollar,married,primary,no,12519,yes,no,cellular,21,nov,615,3,34,1,failure,yes
42,management,married,secondary,no,12282,yes,no,unknown,2,jun,984,4,-1,0,unknown,no
85,retired,married,primary,no,12114,no,no,telephone,12,feb,165,2,-1,0,unknown,yes
60,admin,divorced,secondary,no,12039,no,no,telephone,8,apr,236,1,-1,0,unknown,yes
47,management,divorced,tertiary,no,12026,yes,no,telephone,27,oct,251,1,-1,0,unknown,yes
